id,title,description,content_rating,budget,genres,runtime_minutes,num_votes
tt0364569,Oldeuboi,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",R,3000000.0,"['Action', 'Drama', 'Mystery']",120,712592
tt0112573,Braveheart,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,R,72000000.0,"['Biography', 'Drama', 'War']",178,1156180
tt0119698,Mononoke-hime,"While seeking to cure himself of a curse, young warrior Ashitaka stumbles into a conflict between the people of Iron Town and Princess Mononoke, a girl raised by wolves, who will stop at nothing to prevent the destruction of her home.",PG-13,2400000000.0,"['Adventure', 'Animation', 'Fantasy']",133,480133
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"A mentally unstable American general orders a hydrogen bomb attack on the Soviet Union, triggering a path to global nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",PG,1800000.0,"['Comedy', 'War']",95,549501
tt1187043,3 Idiots,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",PG-13,550000000.0,"['Comedy', 'Drama']",170,478531
tt0169547,American Beauty,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,R,15000000.0,['Drama'],122,1275262
tt8267604,Capharnaüm,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",R,4000000.0,['Drama'],126,123042
tt0045152,Singin' in the Rain,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,G,2540800.0,"['Comedy', 'Musical', 'Romance']",103,281121
tt7286456,Joker,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City.",R,55000000.0,"['Crime', 'Drama', 'Thriller']",122,1679337
tt0087843,C'era una volta in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",R,30000000.0,"['Crime', 'Drama']",229,406810
tt0091251,Idi i smotri,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Not Rated,,"['Drama', 'Thriller', 'War']",142,121217
tt0086190,Star Wars: Episode VI - Return of the Jedi,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",PG,32500000.0,"['Action', 'Adventure', 'Fantasy']",131,1202594
tt0180093,Requiem for a Dream,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,NC-17,4500000.0,['Drama'],102,968295
tt0435761,Toy Story 3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",G,200000000.0,"['Adventure', 'Animation', 'Comedy']",103,963741
tt0044741,Ikiru,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Not Rated,,['Drama'],143,101538
tt2106476,Jagten,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",R,20000000.0,['Drama'],115,406101
tt1255953,Incendies,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,R,6800000.0,"['Drama', 'Mystery', 'War']",131,247333
